"","Country","Divison","ISO 3 Letter","iso3num","Self_employed_total","Employed_total","Divison_total","female_employed_total","female_self_employed_total","male_self_employed_total","male_employed_total","female_self_employed_percent_divison","female_employed_percent_divison","male_self_employed_percent_divison","male_employed_percent_divison","female_self_employed_percent_slf","male_self_employed_percent_slf","female_employed_percent_ees","male_employed_percent_ees"
"35","Albania","56","ALB",8,16061,26589,42650,13344,NA,NA,NA,NA,31.2872215709261,NA,NA,NA,NA,50.186167212005,NA
"36","Albania","79","ALB",8,1085,2426,3511,1342,NA,NA,NA,NA,38.2227285673597,NA,NA,NA,NA,55.3173948887057,NA
"37","Algeria","55-68","DZA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Algeria","56","DZA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Algeria","79","DZA",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Armenia","55-68","ARM",51,NA,11818.2557169,13228.31938499,7228.97759015,NA,NA,4589.27812675,NA,54.6477400474064,NA,34.692828266283,NA,NA,61.1678894357704,38.8321105642297
"41","Armenia","56","ARM",51,NA,25847.66916634,27978.17715259,13382.36951314,NA,NA,12465.2996532,NA,47.831456067184,NA,44.5536518880969,NA,NA,51.7739894727805,48.2260105272195
"42","Armenia","79","ARM",51,NA,NA,1655.15891464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Austria","55-68","AUT",40,21100,104200,125300,68800,10600,10500,35400,8.45969672785315,54.9082202713488,8.37988826815642,28.2521947326417,50.2369668246445,49.7630331753554,66.0268714011516,33.9731285988484
"44","Austria","56","AUT",40,29600,133100,162700,74800,12600,17000,58300,7.74431468961278,45.9741856177013,10.4486785494776,35.8328211432084,42.5675675675676,57.4324324324324,56.198347107438,43.801652892562
"45","Austria","79","AUT",40,NA,NA,18700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
